whole milk,yogurt,sausage,semi-finished bread,,,,,,
whole milk,pastry,salty snack,,,,,,,
canned beer,misc. beverages,,,,,,,,
sausage,hygiene articles,,,,,,,,
soda,pickled vegetables,,,,,,,,
frankfurter,curd,,,,,,,,
whole milk,rolls/buns,sausage,,,,,,,
whole milk,soda,,,,,,,,
beef,white bread,,,,,,,,
frankfurter,soda,whipped/sour cream,,,,,,,
other vegetables,frozen vegetables,,,,,,,,
whole milk,butter,,,,,,,,
tropical fruit,sugar,,,,,,,,
butter milk,specialty chocolate,,,,,,,,
rolls/buns,sausage,,,,,,,,
root vegetables,detergent,,,,,,,,
frozen meals,dental care,,,,,,,,
rolls/buns,,,,,,,,,
dish cleaner,cling film/bags,,,,,,,,
canned beer,frozen fish,,,,,,,,
other vegetables,hygiene articles,,,,,,,,
tropical fruit,whole milk,pip fruit,,,,,,,
rolls/buns,chocolate,red/blush wine,,,,,,,
other vegetables,shopping bags,,,,,,,,
whole milk,rolls/buns,packaged fruit/vegetables,chocolate,,,,,,
whole milk,root vegetables,pastry,,,,,,,
rolls/buns,,,,,,,,,
margarine,whipped/sour cream,,,,,,,,
rolls/buns,bottled water,softener,,,,,,,
whole milk,rice,,,,,,,,
shopping bags,skin care,,,,,,,,
whole milk,rolls/buns,frankfurter,chicken,chocolate,flour,bottled beer,,,
hamburger meat,dessert,liquor (appetizer),liver loaf,,,,,,
tropical fruit,yogurt,root vegetables,soda,white wine,photo/film,domestic eggs,,,
yogurt,herbs,newspapers,,,,,,,
tropical fruit,yogurt,,,,,,,,
pastry,ketchup,,,,,,,,
canned fish,cocoa drinks,,,,,,,,
pip fruit,coffee,UHT-milk,,,,,,,
sliced cheese,kitchen towels,,,,,,,,
specialty bar,bottled water,,,,,,,,
frankfurter,bottled water,,,,,,,,
pip fruit,rolls/buns,candles,,,,,,,
pastry,curd cheese,,,,,,,,
whole milk,other vegetables,frankfurter,yogurt,herbs,grapes,candles,,,
rolls/buns,citrus fruit,bottled water,candy,,,,,,
frankfurter,yogurt,,,,,,,,
tropical fruit,rolls/buns,root vegetables,onions,shopping bags,,,,,
brown bread,frozen vegetables,,,,,,,,
whole milk,processed cheese,,,,,,,,
whole milk,frozen meals,,,,,,,,
meat,domestic eggs,white bread,roll products ,,,,,,
root vegetables,mayonnaise,,,,,,,,
other vegetables,mustard,,,,,,,,
bottled water,hard cheese,napkins,,,,,,,
whole milk,candy,,,,,,,,
tropical fruit,frozen vegetables,,,,,,,,
whipped/sour cream,mustard,,,,,,,,
whole milk,yogurt,sausage,bottled beer,,,,,,
canned beer,cookware,,,,,,,,
butter milk,hamburger meat,,,,,,,,
whole milk,rolls/buns,,,,,,,,
whole milk,citrus fruit,,,,,,,,
beef,salty snack,,,,,,,,
rolls/buns,fruit/vegetable juice,chocolate,,,,,,,
bottled beer,UHT-milk,,,,,,,,
chicken,red/blush wine,,,,,,,,
pip fruit,soft cheese,,,,,,,,
pip fruit,rolls/buns,frankfurter,oil,mayonnaise,,,,,
brown bread,pet care,,,,,,,,
other vegetables,rolls/buns,,,,,,,,
beef,yogurt,,,,,,,,
other vegetables,root vegetables,,,,,,,,
soda,dessert,shopping bags,,,,,,,
curd,long life bakery product,,,,,,,,
beverages,domestic eggs,,,,,,,,
butter milk,root vegetables,,,,,,,,
berries,cake bar,,,,,,,,
hamburger meat,red/blush wine,,,,,,,,
canned beer,shopping bags,,,,,,,,
rolls/buns,canned beer,frozen fish,spices,,,,,,
butter,yogurt,frozen meals,newspapers,,,,,,
rolls/buns,baking powder,,,,,,,,
tropical fruit,yogurt,curd,liquor,,,,,,
butter,sliced cheese,,,,,,,,
fruit/vegetable juice,sausage,,,,,,,,
beef,napkins,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,
rolls/buns,packaged fruit/vegetables,root vegetables,whipped/sour cream,,,,,,
soda,domestic eggs,,,,,,,,
chicken,frozen meals,,,,,,,,
curd,male cosmetics,,,,,,,,
yogurt,berries,bottled beer,white bread,,,,,,
specialty bar,sausage,whipped/sour cream,,,,,,,
tropical fruit,other vegetables,root vegetables,fish,,,,,,
coffee,shopping bags,,,,,,,,
ham,cream cheese ,,,,,,,,
canned beer,UHT-milk,,,,,,,,
rolls/buns,sausage,dessert,pickled vegetables,,,,,,
butter,fruit/vegetable juice,candy,salty snack,dental care,,,,,
root vegetables,long life bakery product,,,,,,,,
citrus fruit,yogurt,,,,,,,,
root vegetables,canned beer,whipped/sour cream,,,,,,,
whole milk,salt,softener,,,,,,,
hamburger meat,pork,,,,,,,,
rolls/buns,bottled water,,,,,,,,
rolls/buns,red/blush wine,,,,,,,,
canned beer,onions,flower (seeds),,,,,,,
rolls/buns,sugar,,,,,,,,
butter,soda,,,,,,,,
root vegetables,specialty chocolate,,,,,,,,
rolls/buns,bottled water,onions,baking powder,,,,,,
ham,dessert,,,,,,,,
pot plants,ice cream,,,,,,,,
other vegetables,berries,,,,,,,,
beverages,cream cheese ,,,,,,,,
ice cream,whipped/sour cream,,,,,,,,
other vegetables,butter,berries,soda,cream cheese ,white bread,,,,
yogurt,root vegetables,,,,,,,,
whole milk,pastry,shopping bags,white bread,,,,,,
newspapers,whipped/sour cream,,,,,,,,
frankfurter,pastry,,,,,,,,
chicken,waffles,,,,,,,,
fruit/vegetable juice,dessert,,,,,,,,
rolls/buns,sausage,snack products,,,,,,,
tropical fruit,rolls/buns,soda,,,,,,,
tropical fruit,newspapers,,,,,,,,
pip fruit,yogurt,cling film/bags,cat food,,,,,,
bottled water,frozen meals,domestic eggs,,,,,,,
whole milk,newspapers,,,,,,,,
pip fruit,white wine,salt,white bread,,,,,,
sausage,frozen vegetables,,,,,,,,
whole milk,rolls/buns,yogurt,,,,,,,
whole milk,frozen vegetables,,,,,,,,
fruit/vegetable juice,vinegar,,,,,,,,
citrus fruit,shopping bags,chewing gum,cake bar,,,,,,
frankfurter,yogurt,canned beer,,,,,,,
